TIPO	CODIGO	UD	DESCRIPCION CORTA	PADRE	CRITERIO	DESGLOSE	DESCRIPCION LARGA	PRECIO/UNIDAD
PARTIDA	12.01.56	ud	Compuerta Regulacion: M540-250x150	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	137,99
PARTIDA	12.01.57	ud	Compuerta Regulacion: M550-250x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	138,51
PARTIDA	12.01.58	ud	Compuerta Regulacion: M630-250x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	138,87
PARTIDA	12.01.59	ud	Compuerta Regulacion: M720-250x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	139,01
PARTIDA	12.01.60	ud	Compuerta Regulacion: M810-250x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	139,55
PARTIDA	12.01.61	ud	Compuerta Regulacion: M900-250x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	139,66
PARTIDA	12.01.62	ud	Compuerta Regulacion: M990-250x300	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	139,87
PARTIDA	12.01.63	ud	Compuerta Regulacion: M1000-300x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	139,99
PARTIDA	12.01.64	ud	Compuerta Regulacion: M1440-350x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	140,01
PARTIDA	12.01.65	ud	Compuerta Regulacion: M1500-350x200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	140,2
PARTIDA	12.01.66	ud	Compuerta Regulacion: M1530-350x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	140,62
PARTIDA	12.01.67	ud	Compuerta Regulacion: M2000-350x300	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	140,96
PARTIDA	12.01.68	ud	Compuerta Regulacion: RC-300x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	142,66
PARTIDA	12.01.69	ud	Compuerta Regulacion: RC-600x250	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	147,83
PARTIDA	12.01.70	ud	Compuerta Regulacion: TVJ/250X200	12.01			Compuerta rectangular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	144,5
PARTIDA	12.01.71	ud	Compuerta Regulacion Redonda: D150	12.01			Compuerta circular para la regulación del caudal de aire y la presión o para el cierre de conductos en instalaciones de ventilación con lamas acopladas en el mismo sentido, lamas perfiladas de chapa de acero galvanizado, ejes y palancas exteriores de acero cincado, casquillos de plástico especial, accionamiento situado en el lado derecho de la compuerta, marco taladrado por ambos lados. Incluso accesorios de montaje y elementos de fijación.	30,92
PARTIDA	12.01.72	ud	CortinaDeAire: 2.00x0.40x0.40 m	12.01			Cortina de aire, con resistencia eléctrica, con caja metálica barnizada color marfil RAL 9002, modelo COR-10 "S&P", caudal de aire 2150 m³/h, potencia 10 kW, parcializable en 2 etapas, ventilador tangencial de alto rendimiento con motor para alimentación trifásica a 230/400 V, de una velocidad. Totalmente montada, conexionada y puesta en marcha por la empresa instaladora para la comprobación de su correcto funcionamiento.	1688,6
PARTIDA	12.01.73	ud	DepositoInhibidorCorrosión: MVV2550RB	12.01			Depósito de gasóleo de chapa de acero, de superficie, de simple pared contenido en cubeto, con una capacidad de 3500 litros, para consumos colectivos, según UNE 62350. Tratamiento exterior: granallado SA 2 1/2 y acabado mediante imprimación de epoxi-poliamida y poliuretano blanco. Incluso tapón de drenaje y elementos de protección según normativa.	1954,69
PARTIDA	12.01.74	ud	DistribuidorCocina: 1.5x1.10x0.65 m	12.01			?	350,63
PARTIDA	12.01.75	ud	Enfriadora	12.01			Bomba de calor reversible, aire-agua, potencia frigorífica nominal de 19,5 kW (temperatura de entrada del aire: 35°C; temperatura de salida del agua: 7°C, salto térmico: 5°C), potencia calorífica nominal de 21,8 kW (temperatura húmeda de entrada del aire: 6°C; temperatura de salida del agua: 45°C), con grupo hidráulico (vaso de expansión de 12 l, presión nominal disponible de 102 kPa) y depósito de inercia de 100 l, caudal de agua nominal de 3,4 m³/h, caudal de aire nominal de 10000 m³/h y potencia sonora de 73,8 dBA; con interruptor de caudal, filtro, termomanómetros, válvula de seguridad tarada a 4 bar y purgador automático de aire, con refrigerante R-410A, para instalación en exterior. Totalmente montada, conexionada y puesta en marcha por la empresa instaladora para la comprobación de su correcto funcionamiento.	6468,99
PARTIDA	12.01.76	ud	FanCoil01 ConductosCuadrados1S: 250x200	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1612
PARTIDA	12.01.77	ud	FanCoil01 ConductosCuadrados1S: 300x250	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1657,88
PARTIDA	12.01.78	ud	FanCoil01 ConductosRedondos1S: 45/45º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1705,53
PARTIDA	12.01.79	ud	FanCoil01 ConductosRedondos1S: 72/38º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1798,65
PARTIDA	12.01.80	ud	FanCoil01 ConductosRedondos3S: FanCoil01 ConductosRedondos	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1824,65
PARTIDA	12.01.81	ud	FanCoil01 ConductosRedondosRejilla: FanCoil01 ConductosRedondosRejilla	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1896,32
PARTIDA	12.01.82	ud	FanCoil02 ConductosCuadrados1S: 300x250	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1901,21
PARTIDA	12.01.83	ud	FanCoil02 ConductosCuadrados1S: 450x200	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	1972,66
PARTIDA	12.01.84	ud	FanCoil02 ConductosRedondos3S: FanCoil02 ConductosRedondos3S	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2005,62
PARTIDA	12.01.85	ud	FanCoil03 ConductoCuadrado1S: 300x250-47º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2100,25
PARTIDA	12.01.86	ud	FanCoil03 ConductoCuadrado1S: 400x300-40/90º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2265,25
PARTIDA	12.01.87	ud	FanCoil03 ConductoCuadrado1S: 400x300-51.34º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2378,98
PARTIDA	12.01.88	ud	FanCoil03 ConductoCuadrado1S: 450x250-51.34º	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2451,63
PARTIDA	12.01.89	ud	FanCoil04: 0.55x0.55m	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2500,36
PARTIDA	12.01.90	ud	FanCoil04: 1.0x0.25m	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2610,38
PARTIDA	12.01.91	ud	FanCoil05 ConductoRedondo1S: FanCoil05 ConductoRedondoUnaSalida	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2698,55
PARTIDA	12.01.92	ud	FanCoil05 ConductoRedondo1S RejillaComp.Regulacion: D150	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2706,32
PARTIDA	12.01.93	ud	FanCoil05 ConductoRedondo1SRejilla: D200	12.01			Fancoil de techo con distribución por conducto rectangular, gama Hybrid City Multi, modelo PEFY-WP20VMA-E "MITSUBISHI ELECTRIC", potencia frigorífica nominal 2,2 kW (temperatura de bulbo seco del aire interior 27°C, temperatura de bulbo húmedo del aire interior 19°C, temperatura de bulbo seco del aire exterior 35°C) potencia calorífica nominal 2,5 kW (temperatura de bulbo seco del aire interior 20°C, temperatura de bulbo seco del aire exterior 7°C, temperatura de bulbo húmedo del aire exterior 6°C), consumo eléctrico nominal en refrigeración 0,07 kW, consumo eléctrico nominal en calefacción 0,05 kW, de 250x700x732 mm, peso 21 kg, con ventilador de tres velocidades, presión sonora a velocidad baja 23 dBA, caudal de aire a velocidad alta 10,5 m³/min, presión estática configurable entre 35 Pa y 150 Pa y bomba de drenaje, con control remoto por cable, conectable al bus M-Net, modelo PAR-U02MEDA-J. Incluso elementos para suspensión del techo. El precio no incluye la canalización ni el cableado eléctrico de alimentación.	2781,2
PARTIDA	12.01.94	ud	LDCV1400A	12.01			?	754,21
